meal,recipe_name,ingredient,unit_amount,unit,alternative_amount,alternative_unit
II. dinner,okurka a mrkev s jogurtem a semínky,skyr,120,g,,
II. dinner,okurka a mrkev s jogurtem a semínky,salátová okurka,110,g,0.25,ks
II. dinner,okurka a mrkev s jogurtem a semínky,lněných semínek,7,g,,
II. dinner,okurka a mrkev s jogurtem a semínky,mrkve,40,g,,
II. dinner,šunka sýr rajče,eidam,15,g,1,ks
II. dinner,šunka sýr rajče,krůtí šunka,60,g,,
II. dinner,šunka sýr rajče,rajče,200,g,2.5,ks
II. dinner,šunkové humusové rolky,humus,30,g,,
II. dinner,šunkové humusové rolky,kedlubna,150,g,2.5,ks
II. dinner,šunkové humusové rolky,krůtí šunka,65,g,5.5,plátku
II. dinner,malinový koktejl s tvarohem,maliny,50,g,,
II. dinner,malinový koktejl s tvarohem,chia semínka,6,g,,
II. dinner,malinový koktejl s tvarohem,odtučněný tvaroh,125,g,0.5,kelímku
II. dinner,zelenina se šunkou a jogurtem,krůtí šunka,70,g,,
II. dinner,zelenina se šunkou a jogurtem,bílý jogurt 3.5 %,50,g,4,TBSP
II. dinner,zelenina se šunkou a jogurtem,mrkev,43,g,0.5,ks
II. dinner,zelenina se šunkou a jogurtem,salátová okurka,40,g,0.25,ks
lunch,Boloňské celozrnné špagety,olivový olej,15,ml,1.5,TBSP
lunch,Boloňské celozrnné špagety,hovězí maso,120,g,,
lunch,Boloňské celozrnné špagety,cibule,30,g,0.33,ks
lunch,Boloňské celozrnné špagety,česnek,,,2,stroužky
lunch,Boloňské celozrnné špagety,rajčata,137,g,1.5,ks
lunch,Boloňské celozrnné špagety,bazalka,3,g,,
lunch,Boloňské celozrnné špagety,oregáno,,,,špetka
lunch,Boloňské celozrnné špagety,celozrné těstoviny,100,g,,
lunch,Těstovinový salát s grilovaným kuřetem,kuřecí prsa,130,g,,
lunch,Těstovinový salát s grilovaným kuřetem,olivový olej,15,ml,1.5,TBSP
lunch,Těstovinový salát s grilovaným kuřetem,celozrnné těstoviny,100,g,,
lunch,Těstovinový salát s grilovaným kuřetem,rajčata,82,g,1,ks
lunch,Těstovinový salát s grilovaným kuřetem,zakysanka 12 %,50,g,,
lunch,Těstovinový salát s grilovaným kuřetem,okurka,30,g,0.25,ks
lunch,Těstovinový salát s grilovaným kuřetem,cibule,20,g,0.25,ks
lunch,Hovězí na houbách s rýží,hovězí maso,143,g,,
lunch,Hovězí na houbách s rýží,olivový olej,15,g,1,TBSP
lunch,Hovězí na houbách s rýží,žampion,60,g,3,ks
lunch,Hovězí na houbách s rýží,basmati rýže,94,g,8,TBSP
lunch,Treska na zelenině s vařenými brambory,filet treska bez kůže,200,g,,
lunch,Treska na zelenině s vařenými brambory,mražené fazolky,100,g,,
lunch,Treska na zelenině s vařenými brambory,máslo,20,g,1,TBSP
lunch,Treska na zelenině s vařenými brambory,brambory,200,g,1.5,ks
lunch,Treska na zelenině s vařenými brambory,"směr mrkev, hrášek, kukuřice",200,g,,
lunch,Treska na zelenině s vařenými brambory,olivový olej,8,ml,1.5,tsp
lunch,"čočka s vejncem, šunkou a pečivem",slepičí vejce,80,g,1.5,ks
lunch,"čočka s vejncem, šunkou a pečivem",zelená čočka,88,g,,
lunch,"čočka s vejncem, šunkou a pečivem",krůtí šunka,50,g,4,ks
lunch,"čočka s vejncem, šunkou a pečivem",cibule,30,g,0.33,ks
lunch,"čočka s vejncem, šunkou a pečivem",ghí,18,g,1,TBSP
lunch,"čočka s vejncem, šunkou a pečivem",žitný chléb,52,g,1,ks
lunch,krůtí stripsy a zeleninový salát,krůtí prsa,115,g,,
lunch,krůtí stripsy a zeleninový salát,kukuřičná mouka,86,g,,
lunch,krůtí stripsy a zeleninový salát,slepičí vejce,80,g,1.5,ks
lunch,krůtí stripsy a zeleninový salát,ledový salát,32,g,,
lunch,krůtí stripsy a zeleninový salát,řepkový olej,15,ml,1,TBSP
